NUMBER	Gloss	Concepticon_ID	Concepticon_Gloss
279	Smoke	778	SMOKE (EXHAUST)
280	Soap	788	SOAP
281	Son	1620	SON
282	Soup	1547	SOUP
283	Spear	945	SPEAR
284	Spider	843	SPIDER
285	Spoon	1378	SPOON
286	Spoon (of wood)	1378	SPOON
287	Stone	857	STONE
288	Straight	1404	STRAIGHT
289	Stranger	791	STRANGER
290	Stupid	1518	STUPID
291	Sun	1343	SUN
292	Sword	1535	SWORD
293	Ten	1515	TEN
294	The large red-headed Lizard		
295	The large red-headed Lizard (female)		
296	Thigh	800	THIGH
297	Thirteen	1708	THIRTEEN
298	Thread	1161	THREAD
299	Three	492	THREE
300	Throat	1346	THROAT
301	Toad	894	TOAD
302	To-day	1283	TODAY
303	Toe	1389	TOE
304	Toe (the big one)		
305	To-morrow	1329	TOMORROW
306	Tongue	1205	TONGUE
307	Tooth	1380	TOOTH
308	Town (Village)	3609	TOWN OR VILLAGE
309	town (walled)	3609	TOWN OR VILLAGE
310	Tree	906	TREE
311	Trousers	809	TROUSERS
312	Twelve	1707	TWELVE
313	Twenty	1710	TWENTY
314	Two	1498	TWO
315	Vein	1924	VEIN
316	Vein (rope)		
317	Village	930	VILLAGE
318	Waist-cloth		
319	Walking-stick	1296	WALKING STICK
320	War	935	WAR
321	Wasp	1517	WASP
322	Water	948	WATER
323	Water (fresh)	948	WATER
324	Well	954	WELL
325	Wet	1726	WET
326	White	1335	WHITE
327	White Man	2839	WHITE MAN
328	witch	824	WITCH
329	Woman	962	WOMAN
330	Yam	410	YAM
331	Yam (wild)	410	YAM
332	Yesterday	1174	YESTERDAY
333	young	1207	YOUNG
334	Younger Brother (My, Thy)	1760	YOUNGER BROTHER
335	Younger Sister	1761	YOUNGER SISTER
